customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary
1803-URLLW,Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,124.0,No,0
1773-SFCNZ,Male,1,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.28,1644.8,Yes,1
7621-TSUND,Female,1,No,No,6,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),78.93,473.29,Yes,1
8556-LNJEY,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.1,157.15,No,0
8033-QKVOL,Male,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,986.72,No,0
5053-FCOXB,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),84.03,5239.41,No,0
8723-VHQET,Female,0,No,No,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,87.12,774.79,No,0
7304-JBZLX,Female,1,No,Yes,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),77.99,2427.21,Yes,1
7100-UTFJM,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.33,87.93,Yes,1
5479-BOETR,Male,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.39,774.89,No,0
9301-TJZKI,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.37,870.91,Yes,1
9148-JBMUE,Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),115.58,6962.81,No,0
5166-DRMIF,Female,0,No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,106.34,4734.93,No,0
6079-RYLEV,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,82.08,258.01,Yes,1
