customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Churn_Binary,tenure_group,avg_monthly_charge,num_services,has_premium_support,charge_per_service,is_new_month_to_month,is_long_term_customer,Partner_enc,Dependents_enc,PhoneService_enc,PaperlessBilling_enc,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_enc
1803-URLLW,Female,0,Yes,Yes,10,Yes,No,18.25,124.0,No,0,0-12,12.4,1,0,18.25,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
1773-SFCNZ,Male,1,Yes,No,17,Yes,Yes,101.28,1644.8,Yes,1,13-24,96.75,8,0,12.66,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
7621-TSUND,Female,1,No,No,6,Yes,No,78.93,473.29,Yes,1,0-12,78.88,4,0,19.73,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
8556-LNJEY,Female,0,Yes,No,1,Yes,Yes,97.1,157.15,No,0,0-12,157.15,5,0,19.42,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
8033-QKVOL,Male,0,No,No,55,Yes,Yes,18.25,986.72,No,0,49-60,17.94,1,0,18.25,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
5053-FCOXB,Female,0,No,No,62,Yes,Yes,84.03,5239.41,No,0,61-72,84.51,5,0,16.81,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
8723-VHQET,Female,0,No,No,9,Yes,No,87.12,774.79,No,0,0-12,86.09,7,0,12.45,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
7304-JBZLX,Female,1,No,Yes,31,Yes,No,77.99,2427.21,Yes,1,25-48,78.3,5,0,15.6,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
7100-UTFJM,Male,0,Yes,No,1,Yes,No,21.33,87.93,Yes,1,0-12,87.93,1,0,21.33,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
5479-BOETR,Male,0,Yes,Yes,11,Yes,Yes,70.39,774.89,No,0,0-12,70.44,5,0,14.08,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1
