customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary,num_services,Cluster,Segment
1803-URLLW,Female,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,124.0,No,0,1,0,Loyal Customers
1773-SFCNZ,Male,1,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.28,1644.8,Yes,1,6,2,New Customers
7621-TSUND,Female,1,No,No,6,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),78.93,473.29,Yes,1,3,2,New Customers
8556-LNJEY,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.1,157.15,No,0,4,2,New Customers
8033-QKVOL,Male,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,986.72,No,0,1,0,Loyal Customers
5053-FCOXB,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),84.03,5239.41,No,0,3,1,High-Value Customers
8723-VHQET,Female,0,No,No,9,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,87.12,774.79,No,0,5,2,New Customers
7304-JBZLX,Female,1,No,Yes,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),77.99,2427.21,Yes,1,3,2,New Customers
7100-UTFJM,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.33,87.93,Yes,1,1,0,Loyal Customers
5479-BOETR,Male,0,Yes,Yes,11,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.39,774.89,No,0,4,2,New Customers
9301-TJZKI,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.37,870.91,Yes,1,2,2,New Customers
9148-JBMUE,Female,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),115.58,6962.81,No,0,4,1,High-Value Customers
5166-DRMIF,Female,0,No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,106.34,4734.93,No,0,6,1,High-Value Customers
6079-RYLEV,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,82.08,258.01,Yes,1,3,2,New Customers
6667-SCITV,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,29.38,1134.83,No,0,1,0,Loyal Customers
4916-UVKXH,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Electronic check,84.19,129.68,Yes,1,3,2,New Customers
3155-RQDVF,Female,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,92.22,2707.61,No,0,4,2,New Customers
8243-AUUUR,Male,0,No,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.61,1463.09,No,0,1,0,Loyal Customers
5243-SHUOL,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),73.85,1517.61,No,0,2,2,New Customers
5549-OADGC,Female,0,Yes,No,26,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,78.61,2084.38,No,0,4,2,New Customers
4956-RRMWO,Female,0,No,Yes,56,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),77.86,4362.49,No,0,3,1,High-Value Customers
1712-TOQOO,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),102.93,186.94,Yes,1,4,2,New Customers
